year,category,winner,song
1998,Female Country Artist of the Year,LeAnn Rimes,
1998,R&B Group of the Year,Next,
1998,Male Album of the Year,Garth Brooks “Sevens”,Sevens
1998,Male Albums Artist of the Year,Garth Brooks,
1998,R&B Single of the Year,Next “Too Close”,Too Close
1998,Modern Rock Artist of the Year,Everclear,
1998,Adult Contemporary Artist of the Year,Celine Dion,
1998,Album Artist of the Year,Celine Dion,
1998,Soundtrack Single of the Year,Celine Dion “My Heart Will Go On” (From “Titanic”),My Heart Will Go On” (From “Titanic
1998,Soundtrack Album of the Year,Celine Dion “Titanic”,Titanic
1998,Female Album of the Year,Celine Dion “Let’s Talk About Love”,Let’s Talk About Love
1998,Adult Contemporary Group of the Year,Backstreet Boys,
1998,Adult Top 40 Track of the Year,Natalie Imbruglia “Torn”,Torn
1998,Hot 100 Single of the Year,Next “Too Close”,Too Close
1998,Contemporary Christian Album of the Year,LeAnn Rimes “You Light Up My Life – Inspirational Songs”,You Light Up My Life – Inspirational Songs
1998,Country Singles Sales Artist of the Year,LeAnn Rimes,
1998,Country Artist of the Year,Garth Brooks,
1998,Country Album of the Year,Garth Brooks “Sevens”,Sevens
1998,Hot 100 Singles Female Artist of the Year,Shania Twain,
1998,Contemporary Christian Artist of the Year,LeAnn Rimes,
1999,Male Artist of the Year,Ricky Martin,
1999,Artist of the Year,Backstreet Boys,
1999,Albums Artist of the Year,Backstreet Boys,
1999,Female Artist of the Year,Britney Spears,
1999,Singles Artist of the Year - Female,Britney Spears,
1999,Album Artist of the Year - Female,Britney Spears “…Baby One More Time”,…Baby One More Time
1999,Male Artist of the Decade,Garth Brooks,
1999,Hot 100 Single of the Year,Cher “Believe”,Believe
1999,Duo/Group of the Year,Backstreet Boys,
1999,Album of the Year,Backstreet Boys “Millennium”,Millennium
1999,Century Award,Emmylou Harris,
1999,Artist Achievement Award,Aerosmith,
1999,R&B Artist of the Year,R. Kelly,
1999,Rap Singles Artist of the Year,Jay-Z,
1999,Female Artist of the Decade,Mariah Carey,
1999,Country Artist of the Year,Dixie Chicks,
1999,Country Albums Artist of the Year,Dixie Chicks,
1999,R&B Albums Artist of the Year,DMX,
1999,R&B Single of the Year,TLC “No Scrubs”,No Scrubs
1999,Hot 100 Singles Artist of the Year,TLC,
1999,Hot 100 Singles Artist of the Year - Male,Ricky Martin,
2000,Country Duo/Group of the Year,Dixie Chicks,
2000,New R&B/Hip-Hop Artist of the Year,Sisqo,
2000,Album of the Year,*NSYNC “No Strings Attached”,No Strings Attached
2000,Albums Artist Duo/Group of the Year,*NSYNC,
2000,Top 40 Artist of the Year,*NSYNC,
2000,Male Artist of the Year,Sisqo,
2000,Century Award,Randy Newman,
2000,Hot 100 Songwriter of the Year,Rob Thomas,
2000,Artist of the Year,Destiny’s Child,
2000,New Female Artist of the Year,Pink,
2000,World Music Artist of the Year,Baha Men,
2000,World Music Album of the Year,Baha Men “Who Let the Dogs Out”,Who Let the Dogs Out
2000,Female R&B/Hip-Hop Artist,Toni Braxton,
2000,Female Country Artist of the Year,Faith Hill,
2000,Albums Artist of the Year,Britney Spears,
2000,Special Award for biggest one week sales of an album ever by a female artist,Britney Spears,
2000,Female Artist of the Year,Christina Aguilera,
2000,Rock Artist of the Year,Creed,
2000,Hot 100 Airplay Track of the Year,Faith Hill “Breathe”,Breathe
2000,R&B/Hip-Hop Airplay Track of the Year,Joe “I Wanna Know”,I Wanna Know
2000,R&B/Hip-Hop Singles Artist of the Year,Sisqo,
2000,Rock Track of the Year,3 Doors Down “Kryptonite”,Kryptonite
2000,Tropical/Salsa Track of the Year,Son by Four “A Puro Dolar”,A Puro Dolar
2000,Modern Rock Track of the Year,3 Doors Down “Kryptonite”,Kryptonite
2000,"Special Award for biggest one week sales of an album - ""No Strings Attached""",*NSYNC,
2000,Top 40 Track of the Year,Vertical Horizon “Everything You Want”,Everything You Want
2000,Adult Top 40 Artist of the Year,Vertical Horizon,
2000,Duo/Group of the Year,Destiny’s Child,
2000,New Artist of the Year,Sisqo,
2000,Hot 100 Singles Artist of the Year,Destiny’s Child,
2000,Male Hot 100 Singles Artist of the Year,Sisqo,
2000,Hot 100 Singles Duo or Group of the Year,Destiny’s Child,
2000,R&B/Hip-Hop Artist of the Year,Sisqo,
2000,Country Artist of the Year,Dixie Chicks,
2000,Latin Track of the Year,Son by Four “A Puro Dolar”,A Puro Dolar
2000,Country Album of the Year,Dixie Chicks “Fly”,Fly
2000,Hot 100 Single of the Year,Faith Hill “Breathe”,Breathe
2000,Country Albums Artist of the Year,Dixie Chicks,
2000,Latin Pop Track of the Year,Son by Four “A Puro Dolar”,A Puro Dolar
2000,Female Hot 100 Singles Artist,Faith Hill,
2000,Latin Tracks Artist of the Year,Son by Four,
2001,Catalog Album of the Year,Creed “My Own Prison”,My Own Prison
2001,Catalog Artist of the Year,Creed,
2001,Country Single of the Year,Brooks & Dunn “Ain’t Nothing ‘Bout You”,Ain’t Nothing ‘Bout You
2001,Modern Rock Single of the Year,Incubus “Drive”,Drive
2001,Male Artist of the Year,Shaggy,
2001,New Country Artist of the Year,Jamie O’Neal,
2001,Male Albums Artist of the Year,Shaggy,
2001,New R&B/Hip-Hop Artist of the Year,Alicia Keys,
2001,Female New Artist of the Year,Alicia Keys,
2001,Rap Single of the Year,Lil’ Romeo “My Baby”,My Baby
2001,Soundtrack Single of the Year,Destiny’s Child “Independent Women Part 1” (From “Charlie’s Angels”),Independent Women Part 1” (From “Charlie’s Angels
2001,Hot 100 Singles Artist of the Year,Destiny’s Child,
2001,Artist of the Year - Duo/Group,Destiny’s Child,
2001,Artist of the Year,Destiny’s Child,
2001,Country Artist of the Year,Tim McGraw,
2001,Rap Artist of the Year,Lil’ Romeo,
2001,Country Singles Artist of the Year,Tim McGraw,
2001,Century Award,John Mellencamp,
2001,Adult Contemporary Single of the Year,Lee Ann Womack “I Hope You Dance”,I Hope You Dance
2001,Female R&B/Hip-Hop Artist of the Year,Jill Scott,
2001,Album of the Year,The Beatles “1”,1
2001,New Artist of the Year,Lifehouse,
2001,Hot 100 Single of the Year,Lifehouse “Hanging By a Moment”,Hanging By a Moment
2001,"Biggest one-week sales for an album in 2001 (""Celebrity"")",*NSYNC,
2001,Artist Achievement Award,Janet Jackson,
2001,Special award for first four albums debuting at No. 1,DMX,
2001,Rock Artist of the Year,Godsmack,
2001,R&B/Hip-Hop Singles Artist of the Year,R. Kelly,
2001,R&B/Hip-Hop Album of the Year,R. Kelly “TP-2.com”,TP-2.com
2001,R&B/Hip-Hop Albums Artist of the Year,R. Kelly,
2001,R&B/Hip-Hop Artist of the Year,R. Kelly,
2001,Country Albums Artist of the Year,Tim McGraw,
2001,Male Country Artist of the Year,Tim McGraw,
2001,R&B/Hip-Hop Single of the Year,R. Kelly “Fiesta” (featuring Jay-Z),Fiesta
2001,Country Album of the Year,Tim McGraw “Greatest Hits”,Greatest Hits
2001,Modern Rock Artist of the Year,Linkin Park,
2002,Hot 100 Single of the Year,Nickelback “How You Remind Me”,How You Remind Me
2002,Country Singles Artist of the Year,Toby Keith,
2002,Modern Rock Track of the Year,Puddle of Mudd “Blurry”,Blurry
2002,Rap Artist of the Year,Nelly,
2002,Rap Track of the Year,Nelly “Hot in Herre”,Hot in Herre
2002,R&B/Hip-Hop Female Artist of the Year,Ashanti,
2002,R&B/Hip-Hop Artist of the Year,Ashanti,
2002,Hot 100 Singles Artist of the Year,Ashanti,
2002,Top New Pop Artist of the Year,Ashanti,
2002,Female Artist of the Year,Ashanti,
2002,Century Award,Annie Lennox,
2002,Group/Duo Albums Artist of the Year,Creed,
2002,Top 40 Track of the Year,Nickelback “How You Remind Me”,How You Remind Me
2002,Catalog Artist of the Year,Creed,
2002,Hot 100 Airplay Single of the Year,Nickelback “How You Remind Me”,How You Remind Me
2002,Catalog Album of the Year,Creed “Human Clay”,Human Clay
2002,R&B/Hip-Hop Singles Artist of the Year,Ashanti,
2002,Album of the Year,Eminem “The Eminem Show”,The Eminem Show
2002,Rock Artist of the Year,Puddle of Mudd,
2002,New R&B/Hip-Hop Artist of the Year,Ashanti,
2002,R&B/Hip-Hop Single of the Year,Ashanti “Foolish”,Foolish
2002,Hot 100 Singles Group/Duo of the Year,Nickelback,
2002,Group/Duo of the Year,Creed,
2002,Electronic Album of the Year,Moby “Play”,Play
2002,Artist Achievement Award,Cher,
2002,R&B/Hip-Hop Single (Sales) of the Year,B2K “Uh Huh”,Uh Huh
2002,R&B/Hip-Hop Male Artist of the Year,Nelly,
2002,Dance/Club Play Artist of the Year,Cher,
2002,Hot 100 Singles Male Artist of the Year,Nelly,
2002,Modern Rock Artist of the Year,Puddle of Mudd,
2002,"Special Billboard Award: Michael Jackson - recognizing his 1982 Epic album ""Thriller,"" which spent more weeks at No. 1 (37) than any other album in the history of The Billboard 200.",Michael Jackson,
2002,Artist of the Year,Nelly,
2002,Electronic Albums Artist of the Year,Moby,
2002,Male Artist of the Year,Nelly,
2002,R&B/Hip-Hop Album of the Year,Eminem “The Eminem Show”,The Eminem Show
2002,Rock Track of the Year,Puddle of Mudd “Blurry”,Blurry
2003,Digital Track of the Year,OutKast “Hey Ya!”,Hey Ya!
2003,Rap Artist of the Year,50 Cent,
2003,R&B Artist of the Year,50 Cent,
2003,Independent Album of the Year,Lil Jon & the East Side Boyz “Kings of Crunk”,Kings of Crunk
2003,Modern Rock Track of the Year,Trapt “Headstrong”,Headstrong
2003,Rock Track of the Year,Trapt “Headstrong”,Headstrong
2003,Mainstream Top 40 Track of the Year,The Black Eyed Peas “Where is the Love”,Where is the Love
2003,Century Award,Sting,
2003,Country Album of the Year,Shania Twain “Up!”,Up!
2003,Country Albums Artist,Shania Twain,
2003,Country Artist of the Year,Shania Twain,
2003,R&B Songwriter of the Year,R. Kelly,
2003,Hot 100 Songwriter of the Year,R. Kelly,
2003,R&B Producer of the Year,R. Kelly,
2003,Hot 100 Producer of the Year,R. Kelly,
2003,Soundtrack Single of the Year,Paul McCoy “Bring Me to Life” (From “Daredevil”) (Evanescence featuring Paul McCoy),Bring Me to Life” (From “Daredevil
2003,Artist of the Year,50 Cent,
2003,Modern Rock Artist of the Year,Audioslave,
2003,Rock Artist of the Year,Audioslave,
2003,Hot 100 Female Artist of the Year,Beyonce,
2003,New R&B Artist of the Year,Beyonce,
2003,New Female Artist of the Year,Beyonce,
2003,Special Hot 100 Award for Most Weeks at No. 1,Beyonce,
2003,New Male R&B/Hip-Hop Artist of the Year,Chingy,
2003,No. 1 Rhythmic Top 40 Track of the Year,Chingy “Right Thurr”,Right Thurr
2003,Best Selling Single of the Year,Clay Aiken “This Is the Night/Bridge Over Troubled Water”,This Is the Night/Bridge Over Troubled Water
2003,New Group Artist of the Year,Evanescence,
2003,Soundtrack Single of the Year,Evanescence “Bring Me to Life” (From “Daredevil”) (Evanescence featuring Paul McCoy),Bring Me to Life” (From “Daredevil
2003,Duo/Group Artist of the Year,3 Doors Down,
2003,R&B/Hip Hop Group of the Year,Lil Jon & the East Side Boyz,
2003,Hot 100 Group Artist of the Year,3 Doors Down,
2003,Independent Album Artists of the Year,Lil Jon & the East Side Boyz,
2004,Artist of the Year,Usher,
2004,Century Award,Stevie Wonder,
2004,R&B/Hip-Hop Duo/Group of the Year,OutKast,
2004,Hot 100 Duo/Group of the Year,OutKast,
2004,Billboard 200 Duo/Group Album Artist of the Year,OutKast,
2004,Digital Track of the Year,OutKast “Hey Ya!”,Hey Ya!
2004,Hot 100 Airplay Single of the Year,Usher “Yeah” (Usher featuring Lil Jon & Ludacris),Yeah
2004,Billboard 200 Artist of the Year,Usher,
2004,Hot Dance Singles Sales Single of the Year,Britney Spears “Me Against the Music” (Britney Spears featuring Madonna),Me Against the Music
2004,Top-Selling R&B/Hip-Hop Single of the Year,Fantasia,
2004,Top-Selling Single of the Year,Fantasia “I Believe”,I Believe
2004,Artist Achievement Award,Destiny’s Child,
2004,New Country Duo/Group Artist of the Year,Big & Rich,
2004,Independent Album of the Year,Lil Jon & the East Side Boyz “Kings of Crunk”,Kings of Crunk
2004,Independent Albums Artist of the Year,Lil Jon & the East Side Boyz,
2004,Female Country Artist of the Year,Gretchen Wilson,
2004,Ringtone of the Year,50 Cent “In Da Club”,In Da Club
2004,Hot 100 Songwriter of the Year,Alicia Keys,
2004,R&B/Hip-Hop Singles Artist of the Year,Alicia Keys,
2004,R&B/Hip-Hop Single of the Year,Alicia Keys “If I Ain’t Got You”,If I Ain’t Got You
2004,New Country Artist of the Year,Gretchen Wilson,
2004,Female Artist of the Year,Alicia Keys,
2004,Female R&B/Hip-Hop Artist of the Year,Alicia Keys,
2004,Rap Artist of the Year,Kanye West,
2004,R&B/Hip-Hop Producer of the Year,Kanye West,
2004,Hot 100 Producer,Lil Jon,
2004,Hot 100 Single of the Year,Lil Jon “Yeah” (Usher featuring Lil Jon & Ludacris),Yeah
2004,Female Hot 100 Artist of the Year,Alicia Keys,
2004,Mainstream Top 40 Single of the Year,Lil Jon “Yeah” (Usher featuring Lil Jon & Ludacris),Yeah
2004,R&B/Hip-Hop Airplay Single of the Year,Alicia Keys “If I Ain’t Got You”,If I Ain’t Got You
2004,Hot 100 Airplay Single of the Year,Lil Jon “Yeah” (Usher featuring Lil Jon & Ludacris),Yeah
2004,Female New Artist of the Year,Ashlee Simpson,
2004,R&B/Hip-Hop Album of the Year,Usher “Confessions”,Confessions
2004,Hot Dance Singles Sales Single of the Year,Madonna “Me Against the Music” (Britney Spears featuring Madonna),Me Against the Music
2004,R&B/Hip-Hop Albums Artist of the Year,Usher,
2004,Digital Artist of the Year,Maroon 5,
2004,Duo/Group Artist of the Year,OutKast,
2004,Male New Artist of the Year,Kanye West,
2004,New R&B/Hip-Hop Artist of the Year,Kanye West,
2004,R&B/Hip-Hop Artist of the Year,Usher,
2004,Hot 100 Artist of the Year,Usher,
2004,Hot 100 Single of the Year,Usher “Yeah” (Usher featuring Lil Jon & Ludacris),Yeah
2004,Mainstream Top 40 Artist of the Year,Usher,
2004,Hot 100 Single of the Year,Ludacris “Yeah” (Usher featuring Lil Jon & Ludacris),Yeah
2004,Mainstream Top 40 Single of the Year,Usher “Yeah” (Usher featuring Lil Jon & Ludacris),Yeah
2004,Mainstream Top 40 Single of the Year,Ludacris “Yeah” (Usher featuring Lil Jon & Ludacris),Yeah
2004,Billboard 200 Album of the Year,Usher “Confessions”,Confessions
2004,Hot 100 Airplay Single of the Year,Ludacris “Yeah” (Usher featuring Lil Jon & Ludacris),Yeah
2005,Album of the Year,50 Cent “The Massacre”,The Massacre
2005,Rock Song of the Year,Green Day “Boulevard of Broken Dreams”,Boulevard of Broken Dreams
2005,Hot 100 Artist of the Year,50 Cent,
2005,Ringtone of the Year,50 Cent “Candy Shop” (50 Cent featuring Olivia),Candy Shop
2005,R&B/Hip-Hop ArtistÊof the YearÊ,50 Cent,
2005,Rap Artist of the Year,50 Cent,
2005,Latin Song of the Year,Alejandro Sanz “La Tortura” (Shakira featuring Alejandro Sanz),La Tortura
2005,Country Single Sales Artist of the Year,Carrie Underwood,
2005,Artist of the Year,50 Cent,
2005,2005 Hot 100 Group of the Year,Green Day,
2005,Billboard 200 Albums GroupÊof the Year,Green Day,
2005,Pop GroupÊof the Year,Green Day,
2005,R&B/Hip Hop Group of the Year,Destiny’s Child,
2005,Latin Album of the Year,Daddy Yankee “Barrio Fino”,Barrio Fino
2005,Latin Albums Artist of the Year,Daddy Yankee,
2005,Top-Selling Country Single of the Year,Carrie Underwood “Inside Your Heaven/Independence Day”,Inside Your Heaven/Independence Day
2005,Rap Song of the Year,Usher “Lovers & Friends” (Lil Jon & The East Side Boyz featuring Usher & Ludacris),Lovers & Friends
2005,New Artist of the Year,Gwen Stefani,
2005,Latin Song of the Year,Shakira “La Tortura” (Shakira featuring Alejandro Sanz),La Tortura
2005,Modern Rock Artist of the Year,Green Day,
2005,Ringtone of the Year,Olivia “Candy Shop” (50 Cent featuring Olivia),Candy Shop
2005,R&B/Hip-Hop Airplay Song of the Year,Mario “Let Me Love You”,Let Me Love You
2005,R&B/Hip-Hop Song of the Year,Mario “Let Me Love You”,Let Me Love You
2005,Rhythmic Top 40 Title of the Year,Mariah Carey “We Belong Together”,We Belong Together
2005,Female Billboard 200 Album Artist of the Year,Mariah Carey,
2005,Female R&B/Hip-Hop Artist of the Year,Mariah Carey,
2005,Hot 100 Airplay of the Year,Mariah Carey “We Belong Together”,We Belong Together
2005,Hot 100 Song of the Year,Mariah Carey “We Belong Together”,We Belong Together
2005,Rap Song of the Year,Ludacris “Lovers & Friends” (Lil Jon & The East Side Boyz featuring Usher & Ludacris),Lovers & Friends
2005,Rap Song of the Year,Lil Jon & the East Side Boyz “Lovers & Friends” (Lil Jon & The East Side Boyz featuring Usher & Ludacris),Lovers & Friends
2005,Century Award,Tom Petty,
2005,Country Albums Artist of the Year,Toby Keith,
2005,Rock ArtistÊof the YearÊ,Green Day,
2005,Comedy Album of the Year,Larry the Cable Guy “The Right to Bare Arms”,The Right to Bare Arms
2005,Comedy Artist of the Year,Larry the Cable Guy,
2005,Country Artist of the Year,Toby Keith,
2005,Artist Achievement Award,Kanye West,
2005,Latin Pop Albums Artist of the Year,Shakira,
2005,Digital Song of the Year,Gwen Stefani “Hollaback Girl”,Hollaback Girl
2005,Latin Pop Album of the Year,Shakira “Fijacion Oral Vol. 1”,Fijacion Oral Vol. 1
2005,Top-Selling Hot 100 Song of the Year,Carrie Underwood “Inside Your Heaven/Independence Day”,Inside Your Heaven/Independence Day
2006,Female R&B/Hip-Hop Artist of the Year,Mary J. Blige,
2006,R&B/Hip-Hop Artist of the Year,Mary J. Blige,
2006,Country Songs Artist of the Year,Kenny Chesney,
2006,Male Country Artist of the Year,Kenny Chesney,
2006,New Artist of the Year,Chris Brown,
2006,Male Artist of the Year,Chris Brown,
2006,Artist of the Year,Chris Brown,
2006,Soundtrack Album of the Year,Cast of “High School Musical” “High School Musical”,High School Musical” “High School Musical
2006,New Country Artist of the Year,Carrie Underwood,
2006,Female Country Artist of the Year,Carrie Underwood,
2006,Female Billboard 200 Albums Artist of the Year,Carrie Underwood,
2006,Country Album of the Year,Carrie Underwood “Some Hearts”,Some Hearts
2006,R&B/Hip-Hop Album of the Year,Mary J. Blige,
2006,Album of the Year,Carrie Underwood “Some Hearts”,Some Hearts
2006,R&B Albums Artist of the Year,Mary J. Blige “The Breakthrough”,The Breakthrough
2006,R&B/Hip-Hop Songs Artist of the Year,Mary J. Blige,
2006,Rap Albums Artist of the Year,T.I.,
2006,Rap Album of the Year,T.I. “King”,King
2006,Rap Artist of the Year,T.I.,
2006,Pop 100 Artist of the Year,Rihanna,
2006,Female Hot 100 Artist of the Year,Rihanna,
2006,Female Artist of the Year,Rihanna,
2006,Hot 100 Artist-Duo/Group of the Year,Nickelback,
2006,Artist-Duo/Group of the Year,Nickelback,
2006,Rock Album of the Year,Nickelback “All the Right Reasons”,All the Right Reasons
2006,Pop Single of the Year,Timbaland “Promiscuous” (Nelly Furtado featuring Timbaland),Promiscuous
2006,Pop Single of the Year,Nelly Furtado “Promiscuous” (Nelly Furtado featuring Timbaland),Promiscuous
2006,Rock Single of the Year,Three Days Grace “Animal I Have Become”,Animal I Have Become
2006,Videoclip of the Year,Mary J. Blige “Be Without You”,Be Without You
2006,Digital Songs Artist of the Year,The Fray,
2006,R&B/Hip-Hop Song Airplay of the Year,Mary J. Blige “Be Without You”,Be Without You
2006,Digital Albums Artist of the Year,The Fray,
2006,Hot 100 Airplay Song of the Year,Mary J. Blige “Be Without You”,Be Without You
2006,Videoclips Artist of the Year,T.I.,
2006,Digital Album of the Year,The Fray “How to Save a Life”,How to Save a Life
2006,Century Award,Tony Bennett,
2006,Rap Songs Artist of the Year,T.I.,
2006,R&B/Hip-Hop Song of the Year,Mary J. Blige “Be Without You”,Be Without You
2011,Top Christian Song,Chris Tomlin “Our God”,Our God
2011,Top Artist,Eminem,
2011,Top Streaming Artist,Justin Bieber,
2011,Top Social Artist,Justin Bieber,
2011,Top New Artist,Justin Bieber,
2011,Top Dance/Electronic Song,Edward Maya & Vika Jigulina “Stereo Love”,Stereo Love
2011,Top Pop Album,Justin Bieber “My World 2.0”,My World 2.0
2011,Top Radio Song,Bruno Mars “Just the Way You Are”,Just the Way You Are
2011,Top Digital Artist,Justin Bieber,
2011,Top Christian Artist,Chris Tomlin,
2011,Top Christian Album,Skillet “Awake”,Awake
2011,Top Country Song,Lady Antebellum “Need You Now”,Need You Now
2011,Top Latin Song,Shakira “Waka Waka (This Time For Africa)” (Shakira featuring Freshlyground),Waka Waka (This Time For Africa)
2011,Top Digital Songs Artist,Katy Perry,
2011,Top Latin Artist,Shakira,
2011,Top Hot 100 Artist,Katy Perry,
2011,Top Rap Song,Rihanna “Love the Way You Lie” (Eminem featuring Rihanna),Love the Way You Lie
2011,Billboard.com Fan Favorite Award,Justin Bieber,
2011,Top Radio Songs Artist,Rihanna,
2011,Top Female Artist,Rihanna,
2011,Top Alternative Song,Neon Trees “Animal”,Animal
2011,Top Alternative Artist,Mumford & Sons,
2011,Top Rock Album,Mumford & Sons “Sigh No More”,Sigh No More
2011,Top Rap Song,Eminem “Love the Way You Lie” (Eminem featuring Rihanna),Love the Way You Lie
2011,Top Dance/Electronic Artist,Lady Gaga,
2011,Billboard Millennium Award,Beyonce,
2011,Top R&B Album,Usher “Raymond v. Raymond”,Raymond v. Raymond
2011,Top R&B Song,will.i.am “OMG” (Usher featuring will.I.am),OMG
2011,Hot 100 Song,Taio Cruz “Dynamite”,Dynamite
2011,Top Digital Song,Taio Cruz “Dynamite”,Dynamite
2011,Top Pop Song,Taio Cruz “Dynamite”,Dynamite
2011,Top Latin Song,freshlyground “Waka Waka (This Time For Africa)” (Shakira featuring Freshlyground),Waka Waka (This Time For Africa)
2011,Top Rap Artist,Eminem,
2011,Top Billboard 200 Album,Eminem “Recovery”,Recovery
2011,Top Dance/Electronic Album,Lady Gaga “The Fame”,The Fame
2011,Top Streaming Song (Video),Ludacris “Baby” (Justin Bieber featuring Ludacris),Baby
2011,Top Alternative Artist,Mumford & Sons,
2011,Top Rock Artist,Train,
2011,Top Rock Song,"Train “Hey, Soul Sister”","Hey, Soul Sister"
2011,Top Touring Artist,U2,
2011,Top R&B Artist,Usher,
2011,Top R&B Song,Usher “OMG” (Usher featuring will.I.am),OMG
2011,Top Duo/Group,The Black Eyed Peas,
2011,Billboard Icon Award,Neil Diamond,
2011,Top Streaming Song (Audio),Nelly “Just a Dream”,Just a Dream
2011,Top Rap Album,Eminem “Recovery”,Recovery
2011,Top Latin Album,Enrique Iglesias “Euphoria”,Euphoria
2011,Top Billboard 200 Artist,Taylor Swift,
2011,Top Country Artist,Taylor Swift,
2011,Top Country Album,Taylor Swift “Speak Now”,Speak Now
2011,Top Pop Artist,Lady Gaga,
2011,Top Male Artist,Eminem,
2012,Top Touring Artist,U2,
2012,Top Digital Song,LMFAO “Party Rock Anthem” (LMFAO featuring Lauren Bennett & GoonRock),Party Rock Anthem
2012,Top New Artist,Wiz Khalifa,
2012,Top Hot 100 Song,LMFAO “Party Rock Anthem” (LMFAO featuring Lauren Bennett & GoonRock),Party Rock Anthem
2012,Billboard Millennium Award,Whitney Houston,
2012,Top Rap Album,Lil Wayne “Tha Carter IV”,Tha Carter IV
2012,Top Country Song,Jason Aldean “Dirt Road Anthem”,Dirt Road Anthem
2012,Top Streaming Song (Audio),Adele “Rolling In the Deep”,Rolling In the Deep
2012,Top Radio Song,"Afrojack “Give Me Everything” (Pitbull featuring Ne-Yo, Afrojack & Nayer)",Give Me Everything
2012,Top Alternative Song,Adele “Rolling In the Deep”,Rolling In the Deep
2012,Top Christian Album,Casting Crowns “Come to the Well”,Come to the Well
2012,Top Pop Song,LMFAO “Party Rock Anthem” (LMFAO featuring Lauren Bennett & GoonRock),Party Rock Anthem
2012,Top Radio Songs Artist,Adele,
2012,Top Hot 100 Song,GoonRock “Party Rock Anthem” (LMFAO featuring Lauren Bennett & GoonRock),Party Rock Anthem
2012,Top Digital Media Artist,Adele,
2012,Top Digital Song,GoonRock “Party Rock Anthem” (LMFAO featuring Lauren Bennett & GoonRock),Party Rock Anthem
2012,Top Pop Artist,Adele,
2012,Top Pop Song,GoonRock “Party Rock Anthem” (LMFAO featuring Lauren Bennett & GoonRock),Party Rock Anthem
2012,Top Dance Artist,Lady Gaga,
